price_£,proprety type,surface,bedroom,bathroom,address,city,principale
382324.0,House,1937.5,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
367619.0,House,1937.5,4,2,"Essaouira, Marrakesh-Safi",Marrakech,
1098943.0,House,1200.0,4,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
539481.0,House,500.0,4,4,"Agdal, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
229779.0,Apartment,124.0,2,2,"Maârif, Casablanca, Grand Casablanca",Casablanca,Grand Casablanca
249760.0,House,250.0,2,2,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
209798.0,Apartment,160.0,3,2,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
362651.0,Apartment,165.0,3,2,"Agdal, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
3196926.0,House,10000.0,6,2,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
357115.0,House,1937.5,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
303548.0,House,2583.34,4,3,"Essaouira, Marrakesh-Safi",Marrakech,
556680.0,House,4305.56,5,5,"Essaouira, Marrakesh-Safi",Marrakech,
46215.0,Apartment,753.48,2,1,"Rue 08, No.42 No.Hay Moulay Dris Asilah Morocco, Asilah, Tanger, Province de",Asilah,Asilah
1242189.0,House,5974.02,4,1,"Casablanca, Casablanca",Casablanca,
616087.0,House,4305.6,3,1,"Marrakech, Marrakech-Ménara",Marrakech,
981731.0,House,4789.98,4,1,"Casablanca, Casablanca",Casablanca,
2606551.0,House,5382.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
189061.0,House,1506.95,3,1,"Essaouira, Marrakesh-Safi",Marrakech,
519918.0,House,3229.17,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
362367.0,House,2303.48,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
462149.0,House,2637.16,4,4,"Essaouira, Marrakesh-Safi",Marrakech,
493660.0,House,3724.31,4,4,"Essaouira, Marrakesh-Safi",Marrakech,
1498559.0,House,602.0,4,4,"Maârif, Casablanca, Grand Casablanca",Casablanca,Grand Casablanca
1498559.0,House,10000.0,5,5,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
649376.0,Apartment,410.0,4,4,"Agdal, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
584438.0,House,350.0,4,4,"Sidi Belyout, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
389625.0,House,620.0,3,3,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
274736.0,Apartment,191.0,3,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
90329.0,Apartment,742.71,2,1,"Essaouira, Marrakesh-Safi",Marrakech,
262585.0,House,1614.59,3,2,"Essaouira, Marrakesh-Safi",Marrakech,
346612.0,House,42872.66,6,4,"Essaouira, Marrakesh-Safi",Marrakech,
493660.0,House,2690.98,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
409632.0,House,2152.78,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
117638.0,House,8611.13,4,3,"Essaouira, Marrakesh-Safi",Marrakech,
357115.0,House,2389.59,4,4,"Essaouira, Marrakesh-Safi",Marrakech,
262585.0,House,2152.78,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
185910.0,House,1399.31,2,1,"Essaouira, Marrakesh-Safi",Marrakech,
682721.0,House,4090.29,5,5,"Agadir, Souss-Massa 80000",Agadir,
1298220.0,House,5920.15,5,4,"MARRAKECH, Marrakesh-Safi",Marrakech,
659928.0,House,3229.17,3,3,"Marrakesh, Marrakesh-Safi",Marrakech,
1302295.0,House,18621.72,1,1,"Rabat, Rabat",Rabat,
130531.0,Apartment,990.29,1,1,"Marrakech, Marrakech-Ménara",Marrakech,
373333.0,House,4488.59,3,4,"Marrakech, Marrakech-Ménara",Marrakech,
236166.0,Apartment,1657.66,2,1,"Marrakech, Marrakech-Ménara",Marrakech,
6197004.0,House,667.0,4,4,"Marrakech, Marrakesh-Safi",Marrakech,
289721.0,Apartment,181.0,3,2,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
649376.0,House,495.0,4,4,"Aïn Chock, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
914163.0,House,4843.76,5,5,"marrakech, Marrakesh-Safi",Marrakech,
1045088.0,House,7685.43,7,7,"Agadir, Souss-Massa 80000",Agadir,
399129.0,House,3229.17,3,2,"Marrakesh, Marrakesh-Safi",Marrakech,
973665.0,House,5166.68,4,4,"Marrakesh, Massachusetts 01773",Unknown,
1134367.0,House,16145.87,14,15,"Taroudant, Souss-Massa",Agadir,
1522992.0,House,13993.08,7,7,"MARRAKECH, Marrakesh-Safi",Marrakech,
4043808.0,House,20451.43,9,7,"MARRAKECH, Marrakesh-Safi",Marrakech,
3676189.0,House,9902.8,5,5,"marrakech, Marrakesh-Safi",Marrakech,
2226720.0,House,10333.35,4,4,"MARRAKECH, Marrakesh-Safi",Marrakech,
4397772.0,House,18298.65,10,10,"MARRAKECH, Marrakesh-Safi",Marrakech,
1575509.0,House,10333.35,7,7,"Marrakesh, Massachusetts Wayland",Unknown,
889145.0,House,1020.0,5,5,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
599424.0,House,470.0,3,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
3196926.0,House,14893.0,6,6,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
699328.0,House,365.0,9,6,"Marrakech-Médina, Marrakech, Marrakesh-Safi 40000",Marrakech,Marrakesh-Safi
2497599.0,House,20000.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
2018060.0,House,1838.0,10,8,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
304598.0,House,1614.59,5,4,"Essaouira, Marrakesh-Safi",Marrakech,
424592.0,House,255.0,3,3,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
451646.0,House,4090.29,4,4,"Essaouira, Marrakesh-Safi",Marrakech,
336109.0,House,2798.62,6,6,"Essaouira, Marrakesh-Safi",Marrakech,
581025.0,Apartment,2669.47,3,1,"Rabat, Rabat",Rabat,
231075.0,House,1679.17,2,2,"Essaouira, Marrakesh-Safi",Marrakech,
724734.0,House,8072.93,9,9,"Essaouira, Marrakesh-Safi",Marrakech,
849184.0,House,1400.0,8,8,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
849184.0,House,4600.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
289721.0,House,300.0,3,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
671182.0,House,2906.28,4,1,"Marrakech, Marrakech-Ménara",Marrakech,
445317.0,Apartment,3692.05,5,1,"Témara, Skhirat-Témara",Skhirat,
1903354.0,House,7534.8,4,1,"Casablanca, Casablanca",Casablanca,
240425.0,Apartment,1410.08,3,1,"Casablanca, Casablanca",Casablanca,
455804.0,Apartment,2906.28,3,1,"Bouznika, Ben Slimane",Benslimane,
750322.0,Apartment,3982.68,4,1,"Bouznika, Ben Slimane",Benslimane,
295522.0,Apartment,1603.84,3,1,"Casablanca, Casablanca",Casablanca,
17271047.0,House,10764.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
402638.0,Apartment,1969.81,3,1,"Bouknadel, Salé",Salé,
229779.0,Apartment,156.0,2,2,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
292719.0,Apartment,149.0,3,3,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
142863.0,Apartment,73.0,2,2,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
173084.0,Apartment,50.0,1,1,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
999040.0,House,780.0,6,6,"Route de Tahanaout, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1098943.0,House,2128.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
336109.0,House,2152.78,6,6,"Essaouira, Marrakesh-Safi",Marrakech,
851501.0,House,8589.67,4,1,"Rabat, Rabat",Rabat,
1483403.0,House,753480.04,1,1,"Zagora, Zagora",Zagora,
656157.0,House,5920.2,1,1,"El Menzeh, Skhirat-Témara",Skhirat,
2940951.0,House,10763.91,7,7,"Marrakesh, Marrakesh-Safi",Marrakech,
1848223.0,House,1000.0,4,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
207967.0,House,1291.67,3,2,"Essaouira, Marrakesh-Safi",Marrakech,
220571.0,Apartment,1313.2,1,2,"Essaouira, Marrakesh-Safi",Marrakech,
450795.0,House,9687.6,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
170300.0,Apartment,1054.87,2,1,"Marrakech, Marrakech-Ménara",Marrakech,
450795.0,Apartment,2594.12,1,1,"Rabat, Rabat",Rabat,
1220150.0,House,8611.2,1,1,"Mohammadia, Mohammedia",Mohammedia,
1091925.0,House,6103.19,5,5,"Rabat, Rabat",Rabat,
400706.0,Apartment,3767.4,5,5,"Rabat, Rabat",Rabat,
753510.0,House,3875.04,4,1,"Marrakech, Marrakech-Ménara",Marrakech,
1302295.0,House,107640.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
1602824.0,House,23142.6,1,4,"Marrakech, Marrakech-Ménara",Marrakech,
558985.0,House,5295.89,4,1,"Marrakech, Marrakech-Ménara",Marrakech,
721271.0,House,5382.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,
246435.0,Apartment,1356.26,2,1,"Marrakech, Marrakech-Ménara",Marrakech,
1091925.0,House,6113.95,4,5,"Rabat, Rabat",Rabat,
2454325.0,House,36597.6,4,1,"Rabat, Rabat",Rabat,
900637.0,House,53820.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
230407.0,Apartment,904.18,2,1,"Bouknadel, Salé",Salé,
2384201.0,House,9687.6,5,2,"Témara, Skhirat-Témara",Skhirat,
651148.0,House,6447.64,1,9,"Marrakech, Marrakech-Ménara",Marrakech,
